ISO3,Country,Continent,Hemisphere,Human Development Groups,UNDP Developing Regions,HDI Rank (2021),Expected Years of Schooling (1990),Expected Years of Schooling (1991),Expected Years of Schooling (1992),Expected Years of Schooling (1993),Expected Years of Schooling (1994),Expected Years of Schooling (1995),Expected Years of Schooling (1996),Expected Years of Schooling (1997),Expected Years of Schooling (1998),Expected Years of Schooling (1999),Expected Years of Schooling (2000),Expected Years of Schooling (2001),Expected Years of Schooling (2002),Expected Years of Schooling (2003),Expected Years of Schooling (2004),Expected Years of Schooling (2005),Expected Years of Schooling (2006),Expected Years of Schooling (2007),Expected Years of Schooling (2008),Expected Years of Schooling (2009),Expected Years of Schooling (2010),Expected Years of Schooling (2011),Expected Years of Schooling (2012),Expected Years of Schooling (2013),Expected Years of Schooling (2014),Expected Years of Schooling (2015),Expected Years of Schooling (2016),Expected Years of Schooling (2017),Expected Years of Schooling (2018),Expected Years of Schooling (2019),Expected Years of Schooling (2020),Expected Years of Schooling (2021)
GAB,Gabon,Africa,Southern Hemisphere,High,SSA,112,11.83213,11.87458,11.91703,11.95948,12.00193,12.04438,12.08683,12.12928,12.17173,12.15069008,12.16875505,12.18682003,12.31002111,12.33315222,12.35628333,12.37941444,12.40254556,12.42567667,12.44880778,12.47193889,12.49507,12.51824401,12.541461,12.56472105,12.62691579,12.68911053,12.75130526,12.8135,12.9,12.97731,12.97731,12.97731
GBR,United Kingdom,Europe,Northern Hemisphere,Very High,,18,13.6549902,13.92667007,14.27546978,14.48675315,14.69803651,14.90931988,15.12060324,15.33188661,15.54316998,15.8917799,16.09623909,16.1175499,16.10576057,16.08025932,16.5434494,16.62688065,16.06059074,15.86334991,15.9672699,16.11256027,16.36290932,15.72978973,15.67329979,17.6342907,17.48591042,17.32865906,17.41354465,17.49843025,17.24805069,17.30971909,17.30971909,17.30971909
GEO,Georgia,Asia,Northern Hemisphere,Very High,ECA,63,12.79429197,12.4276104,12.07143784,11.71526527,11.35909271,11.00292015,11.24497986,11.86952019,12.28580523,12.70209026,13.19787979,13.37042046,13.54679012,13.68500042,13.67243958,13.7594099,13.3165102,13.69944,13.14264011,13.50502968,13.63837981,13.77172995,13.90508008,14.03843021,14.21273994,14.46463966,14.68717003,15.02781963,15.2750597,15.6153698,15.56851959,15.56851959
GHA,Ghana,Africa,Northern Hemisphere,Medium,SSA,133,6.751592319,6.826328267,6.901891496,6.978291163,7.055536528,7.13363695,7.212601896,7.292440935,7.373163743,7.454780102,7.744860172,7.333590031,7.619709969,7.4646101,7.844389915,8.44274044,8.819199562,9.453829765,10.03230953,10.13710022,10.50872993,10.88035965,11.13860035,11.34636021,11.05138016,11.55659962,11.52073956,11.46961975,11.48332977,11.86730957,12.04778004,12.04778004
GIN,Guinea,Africa,Northern Hemisphere,Low,SSA,182,2.662970066,2.814340115,2.986715078,3.159090042,3.382879972,3.611449957,3.840019941,4.186532468,4.533044994,4.87955752,5.226070046,5.572582573,5.919095099,6.265607625,6.612120152,7.093309879,7.557199955,7.845734835,8.134269714,8.279879888,8.425490061,8.571100235,8.558400154,8.783830166,9.009260178,9.163121769,9.319611033,9.478772845,9.640652849,9.805297465,9.805297465,9.805297465
GMB,Gambia,Africa,Northern Hemisphere,Low,SSA,174,4.672284859,4.823235838,4.979063703,5.139926015,5.305985425,5.47740984,5.666175989,5.854942138,6.043708288,6.232474437,6.421240587,6.610006736,6.798772885,6.987539035,7.176305184,7.365071333,7.553837483,7.742603632,7.931369781,7.964540005,7.954999924,8.079072273,8.205079751,8.33305254,8.488134505,8.643216471,8.798298437,8.953380402,9.108462368,9.263544333,9.418626299,9.418626299
GNB,Guinea-Bissau,Africa,Northern Hemisphere,Low,SSA,177,6.391058292,6.523525584,6.658738521,6.796754014,6.93763015,7.081426221,7.22820275,7.378021512,7.530945563,7.687039267,7.846368321,8.008999784,8.175002105,8.344445152,8.517400239,8.693940163,9.186900139,9.296604957,9.406309776,9.516014595,9.625719413,9.735424232,9.84512905,9.954833869,10.06453869,10.17424351,10.28394832,10.39365314,10.50335796,10.61306278,10.61306278,10.61306278
GNQ,Equatorial Guinea,Africa,Northern Hemisphere,Medium,SSA,145,,,,,,,,,,,7.077549934,7.217412569,7.357275204,7.497137839,7.637000475,7.77686311,7.916725745,8.05658838,8.196451015,8.33631365,8.476176285,8.61603892,8.755901555,8.89576419,9.035626825,9.17548946,9.315352095,9.45521473,9.595077365,9.73494,9.73494,9.73494
GRC,Greece,Europe,Northern Hemisphere,Very High,,33,12.38533974,12.93603039,12.83633995,12.63654995,12.80976963,12.81266975,12.96411991,13.13731003,13.81110001,13.7697401,14.15260983,14.51235962,15.09092999,15.1612196,15.48805046,16.18700981,16.37560081,15.86828995,16.16538302,16.46247609,16.75956917,16.86862946,17.16433907,17.34185982,17.89850044,18.26951504,18.64052963,19.10166931,19.50020027,20.02878952,20.02878952,20.02878952
GRD,Grenada,America,Northern Hemisphere,High,LAC,68,14.39464777,14.55154526,14.7101529,14.87048932,15.03257335,15.19642405,15.36206068,15.5295027,15.69876979,15.86988184,16.04285897,16.21772149,16.39448997,16.57318517,16.7538281,16.93643998,17.12104228,17.30765669,17.49630514,17.68700981,17.88404147,18.08107313,18.27810478,18.47513644,18.6721681,18.86919975,18.81738091,18.48951912,18.62984085,18.66202035,18.66202035,18.66202035
GTM,Guatemala,America,Northern Hemisphere,Medium,LAC,135,6.506764516,6.573509413,6.640938964,6.709060192,6.777880192,6.935319901,7.22197846,7.50863702,7.795295579,8.081954139,8.368612698,8.655271258,8.941929817,9.214723778,9.487517738,9.760311699,10.03310566,10.30589962,10.36208963,10.41827965,10.47446966,10.53065968,10.58684969,10.6430397,10.70359993,10.75267982,10.70512247,10.65756512,10.61000776,10.56245041,10.56245041,10.56245041
GUY,Guyana,America,Northern Hemisphere,High,LAC,108,9.658160085,9.760267828,9.863455073,9.967733231,10.07311384,10.17960854,10.28722913,10.3959875,10.50589568,10.61696583,10.72921024,10.78507351,10.84093677,10.89680004,11.10203981,11.30727959,11.02062464,10.73396969,10.76708031,10.67809963,10.94888973,11.47663021,11.43113041,11.57839929,11.72756545,11.87865334,12.03168772,12.18669366,12.34369657,12.50272216,12.50272216,12.50272216
HKG,Hong Kong,Asia,Northern Hemisphere,Very High,,4,13.05466606,13.17232715,13.29104873,13.41084033,13.53171161,13.6536723,13.77673221,13.90090125,14.02618943,14.15260682,14.28016361,14.40887006,14.53873653,14.66977349,14.80199147,14.93540113,15.07001321,15.20583853,15.34288805,15.48117278,15.62070387,15.76149255,15.90355015,16.09333038,16.3194294,16.45096016,16.46666908,16.6324501,16.92947006,17.22212029,17.27816963,17.27816963
HND,Honduras,America,Northern Hemisphere,Medium,LAC,137,8.327740703,8.400770187,8.474440098,8.548110008,8.65581398,8.763517952,8.871221924,8.978925896,9.086629868,9.194333839,9.302037811,9.409741783,9.517445755,9.625149727,9.732853699,9.840557671,9.948261642,10.05596561,10.16366959,10.24633503,10.32900047,10.1966753,10.06435013,9.868069649,9.675359726,9.911664501,9.888603846,9.807000421,9.838728904,10.13281417,10.13281417,10.13281417
HRV,Croatia,Europe,Northern Hemisphere,Very High,,40,9.487243058,9.933662919,10.40108895,10.89050961,11.40295982,11.25879002,11.37658978,11.48884964,11.86464024,12.18980026,12.32102013,12.55932045,12.90729046,13.26109028,13.60599518,13.95090008,14.25984955,14.29500008,14.16623974,14.1531601,14.40382957,14.54564953,14.78808022,15.1735096,15.27311039,15.22484016,15.18770027,15.22671986,15.18179035,15.11209965,15.11209965,15.11209965
HTI,Haiti,America,Northern Hemisphere,Low,LAC,163,7.156425,7.23210375,7.3077825,7.38346125,7.45914,7.53481875,7.6104975,7.68617625,7.761855,7.83753375,7.9132125,7.98889125,8.06457,8.14024875,8.2159275,8.29160625,8.367285,8.44296375,8.5186425,8.59432125,8.67,8.885,8.948,9.011,9.074,9.137,9.2,9.5,9.5,9.7,9.7,9.7
HUN,Hungary,Europe,Northern Hemisphere,Very High,,46,11.12654018,11.11417961,11.21051025,11.74056005,12.27060986,12.4127903,12.6177597,13.05292988,13.43634033,13.87598038,14.23414993,14.56569958,14.88370991,15.2458601,14.97251987,15.17901039,15.28851986,15.28890038,15.28785038,15.21380997,15.2641201,15.19478989,15.24335957,15.61968994,15.42549038,15.21959972,15.11898041,15.20417976,15.12946033,15.0336281,15.0336281,15.0336281
IDN,Indonesia,Asia,Southern Hemisphere,High,EAP,114,10.07166958,9.876020432,9.770970345,9.717000008,9.88506031,10.06046009,10.21537971,10.52087975,10.57161045,10.68282032,10.57404041,10.63712978,10.75983047,10.97385025,11.06958961,10.94575024,10.99732971,11.67477036,11.67576027,12.13866043,12.33273029,12.59058952,12.89035034,12.92486,12.88265991,13.33804035,13.35651016,13.53096962,13.60698032,13.74889386,13.74889386,13.74889386
IND,India,Asia,Northern Hemisphere,Medium,SA,132,7.996357701,8.026842836,8.057444193,8.088162214,8.118997343,8.149950027,8.175550461,8.209850311,8.242063522,8.274276733,8.306489944,8.337169647,8.527839661,9.122170448,9.386282921,9.650395393,9.914507866,10.17862034,10.48252964,10.41897011,10.73542976,11.29448032,11.52486038,11.54076004,11.86649036,11.94699955,12.34372044,12.16333008,11.81347513,11.46362019,11.87462044,11.87462044
IRL,Ireland,Europe,Northern Hemisphere,Very High,,8,12.34974957,12.36942959,12.55916023,13.04246044,13.26047993,13.32575989,13.36120987,13.5766201,16.17416954,16.32534027,16.4296093,16.56286049,16.80606079,16.98218918,17.24028015,17.23913956,16.97068977,17.01375961,17.26186943,17.03665924,17.46286964,17.93795967,17.95647049,18.06964493,18.18281937,18.70903015,18.79326057,18.70528984,19.75616074,18.94522095,18.94522095,18.94522095
IRN,Iran,Asia,Northern Hemisphere,High,SA,76,10.08364157,10.21992719,10.35805479,10.49804925,10.63993581,10.78374004,10.95379996,11.12385988,11.2939198,11.46397972,11.53203964,11.96055031,11.93974018,11.96312046,11.6090498,11.53783035,11.79074001,12.01554012,12.61373997,12.70823956,12.85377026,13.31478977,14.76996994,14.66059017,14.65942001,14.87814045,14.93214035,14.81373024,14.74757004,14.68140984,14.61524963,14.61524963
IRQ,Iraq,Asia,Northern Hemisphere,Medium,AS,121,9.614478,9.501616,9.388754,9.275892,9.16303,9.050168,8.937306,8.824444,8.711582,8.654310226,8.788539886,9.131287336,9.474034786,9.816782236,10.15952969,10.28655016,10.41357063,10.54059111,10.66761158,10.79463205,10.92165253,11.048673,11.17797675,11.3072805,11.43658425,11.565888,11.69519175,11.8244955,11.95379925,12.08747317,12.08747317,12.08747317
ISL,Iceland,Europe,Northern Hemisphere,Very High,,3,14.23715019,15.29761028,15.59636021,15.46640015,15.69215965,15.82032967,15.88074017,16.34880018,16.8168602,16.81957054,17.13028908,17.24799919,17.69742966,18.35300064,17.98419952,18.16902924,18.30336952,18.2290802,18.39888954,18.32003021,18.52108955,18.54735947,18.84399033,19.47475052,19.58976936,19.34770012,19.17450905,19.08308983,19.17563057,19.16305923,19.16305923,19.16305923
ISR,Israel,Asia,Northern Hemisphere,Very High,,22,12.87395,13.21520996,13.42135,13.62749004,13.67351484,13.71953964,13.83495998,14.34781011,14.86066024,15.37351036,15.29668045,15.4809103,16.22184944,16.09560013,15.97373009,15.93305016,15.83117008,15.95351028,15.75245953,15.86003971,16.07172012,16.1223793,16.09416008,16.14162064,16.16893005,16.17112923,16.08654022,16.16283035,16.1252594,16.05088997,16.05088997,16.05088997
ITA,Italy,Europe,Northern Hemisphere,Very High,,30,12.81748009,12.99248028,13.24015045,13.47467041,13.9201498,14.06558037,14.23950958,14.57250023,14.77297974,14.92212009,15.00973988,15.37252045,15.58602047,15.80438995,15.94890976,16.10302925,16.27749062,16.35603905,16.43112946,16.46048927,16.47192001,16.70663071,16.46610069,16.18659019,16.10824966,16.03336906,15.97875977,16.08889961,16.17503929,16.22678947,16.22678947,16.22678947
JAM,Jamaica,America,Northern Hemisphere,High,LAC,110,11.27081967,11.26696968,11.26312101,11.25927234,11.25542367,11.25157499,11.24772632,11.24387765,11.24002898,11.23618031,10.80220032,11.59801006,11.77513027,10.98355961,12.29020023,12.42370033,12.49237744,12.56105456,12.62973167,12.69840878,12.76708589,12.835763,12.90556458,12.97574575,13.04630857,13.11725511,13.18858746,13.26030772,13.332418,13.40492042,13.40492042,13.40492042
JOR,Jordan,Asia,Northern Hemisphere,High,AS,102,11.23939991,11.40272045,11.5805397,11.53104973,11.4191103,11.51270008,11.60628986,11.68886232,11.77143478,11.85400724,11.9365797,12.13572979,12.33487988,12.60367966,12.79255962,12.7048502,12.63064957,12.55109024,12.54397011,12.07672501,11.6094799,11.23715019,11.13696957,10.93816566,10.73936176,10.54055786,10.34175396,10.14295006,10.41676998,10.56050968,10.64655972,10.64655972
JPN,Japan,Asia,Northern Hemisphere,Very High,,19,13.01529026,13.05280018,13.0659399,13.46142483,13.85690975,13.93715954,13.98238977,14.02762,14.07285023,14.1330204,14.19752626,14.26203212,14.32653798,14.39104384,14.45554969,14.52005555,14.58456141,14.64906727,14.71357313,14.77807899,14.84258485,14.90709071,14.97159656,15.03610242,15.10060828,15.16511414,15.22962,15.21569,15.1905,15.22162588,15.22162588,15.22162588
KAZ,Kazakhstan,Asia,Northern Hemisphere,Very High,ECA,56,12.53703022,12.46156025,12.44013023,12.25097513,12.06182003,12.08150597,12.1011919,12.12087784,12.14056377,12.16024971,12.3744297,12.77585316,13.17727661,13.57870007,13.98012352,14.38154697,14.78297043,14.72519541,14.66742039,14.60964537,14.55187035,14.82793999,15.1076498,15.07024002,15.12672043,15.11816025,15.14945984,15.29436016,15.44011021,15.6129303,15.76500034,15.76500034
KEN,Kenya,Africa,Northern Hemisphere,Medium,SSA,152,7.605321279,7.678211181,7.751799664,7.826093425,7.90255072,7.979008016,8.055465311,8.131922606,8.208379902,8.199229795,8.190079689,8.320119858,8.103170395,8.662880421,9.222590446,9.243659973,9.491789818,9.739919662,10.00389004,10.26786041,10.31048778,10.35311515,10.39574252,10.43836989,10.48099726,10.52415263,10.56748569,10.61099717,10.65468781,10.69855835,10.69855835,10.69855835
KGZ,Kyrgyzstan,Asia,Northern Hemisphere,Medium,ECA,118,12.02089977,11.79125023,11.62413025,11.25551987,10.82456017,10.57563972,10.60842991,10.91432667,11.22022343,11.52612019,11.84471989,12.19270039,12.28594017,12.54905987,12.49370956,12.56025982,12.68754959,12.66928959,12.57874966,12.48820972,12.41543961,12.34677029,12.68334007,12.93120003,13.01056004,12.96702957,13.03036976,12.97451019,12.96755981,13.03588009,13.1953001,13.1953001
KHM,Cambodia,Asia,Northern Hemisphere,Medium,EAP,146,7.032154138,7.091509819,7.151366499,7.211223178,7.271079858,7.330936538,7.390793218,7.450649897,7.510506577,7.570363257,7.630219936,8.236160278,9.320349693,9.720649719,10.00885963,10.18515491,10.3614502,10.53528976,10.55445004,10.6522657,10.7474614,10.84350783,10.9404126,11.03818337,11.13682789,11.23635395,11.33676945,11.33676945,11.33676945,11.46772,11.46772,11.46772
KIR,Kiribati,Oceania,Northern Hemisphere,Medium,EAP,136,10.44217968,10.83154011,10.97579002,10.96735001,10.95890999,10.85208988,11.01930046,10.6796004,10.33990033,10.00020027,10.38836956,11.73746967,11.58656025,12.38922024,12.15614033,12.12123966,11.76896954,11.61940956,11.82483959,11.82276263,11.82068567,11.8186087,11.81653174,11.81445478,11.81237781,11.81030085,11.80822389,11.80614693,11.80406996,11.801993,11.801993,11.801993
KNA,Saint Kitts and Nevis,America,Northern Hemisphere,High,LAC,75,12.69515827,12.89924386,13.1066103,13.31731033,13.39694099,13.47657166,13.55620232,13.63583298,13.71546364,13.7950943,13.87472496,13.95435562,14.03398628,14.11361694,14.1932476,14.27287827,14.35250893,14.43213959,14.51177025,14.59273877,14.67415905,14.75603362,14.838365,14.92115576,15.00440845,15.08812564,15.17230994,15.25696394,15.34209028,15.42769157,15.42769157,15.42769157
KOR,South Korea,Asia,Northern Hemisphere,Very High,,19,13.58104992,13.70800972,13.71677971,13.93517971,14.24011993,14.50240993,14.8838501,15.49927998,15.20499992,15.42980003,15.63064957,15.68307972,15.72852039,15.91106033,16.10050011,16.30055046,16.44425964,16.65792084,16.73542023,16.77609062,16.84815979,16.87137985,16.74004936,16.65020943,16.64546013,16.60309982,16.50547028,16.4816494,16.49395943,16.52173996,16.52173996,16.52173996
KWT,Kuwait,Asia,Northern Hemisphere,Very High,AS,50,10.94134045,9.095980167,7.250619888,8.267809868,9.852399826,11.45228958,12.9972496,13.16524982,13.21151495,13.25778008,12.99305487,12.72832966,13.01471472,13.30109978,13.49615002,13.57111702,13.64608402,13.72105103,13.79601803,13.87098503,13.94595203,14.02091904,14.09588604,14.17085304,14.24582005,14.69398022,14.84911922,15.00589617,15.16432838,15.32443332,15.32443332,15.32443332
LAO,Lao,Asia,Northern Hemisphere,Medium,EAP,140,6.586619854,6.683733304,6.780846755,6.877960205,7.162789822,6.842470169,7.45126009,7.673789978,7.918769836,7.997290134,7.999300003,8.008970261,8.274680138,8.60739994,8.768010139,8.992280006,9.078969955,9.265709877,9.44408989,9.736579895,9.954899788,10.35177994,10.51441956,10.81301022,11.09206963,11.22173977,11.15810966,10.98723984,10.63469982,10.47854042,10.13611031,10.13611031
LBN,Lebanon,Asia,Northern Hemisphere,High,AS,112,11.71200857,11.86972429,12.02744,12.1912475,12.355055,12.5188625,12.68267,13.42690333,14.17113667,14.91555,14.9636,15.20376,14.81091,14.16059,13.70269,13.24125,12.88843,13.0529,13.15881,13.31794,13.216,13.28792,12.50924,12.25366,11.48094,11.14674,10.83927,11.28587,11.28587,11.28587,11.28587,11.28587
LBR,Liberia,Africa,Northern Hemisphere,Low,SSA,178,,,,,,,,,,8.889519691,10.78812981,10.63230283,10.47647586,10.32064889,10.16482192,9.853167972,9.853167972,9.697341,9.7317335,9.766126,9.8005185,9.834911,9.8693035,9.903696,9.977566531,10.05143706,10.12530759,10.19917812,10.27304866,10.34691919,10.42078972,10.42078972
LBY,Libya,Africa,Northern Hemisphere,High,AS,104,14.01656053,14.18063632,14.34471211,14.50878789,14.67286368,14.83693947,15.00101526,15.16509105,15.32916684,15.49324263,15.65731842,15.82139421,15.58174038,15.45261955,15.65732857,15.38724714,15.11716571,14.84708429,14.57700286,14.30692143,14.03684,13.71967,13.4025,13.2799874,13.1574748,13.0349622,12.9124496,12.789937,12.789937,12.85428,12.85428,12.85428
LCA,Saint Lucia,America,Northern Hemisphere,High,LAC,106,13.84337435,13.72099753,13.59970253,13.47947979,13.36031983,13.24115987,13.12199991,13.00283996,12.88368,12.76452004,12.64536008,12.52620012,12.40704016,12.2878802,12.16872025,12.42891026,12.78090954,12.60116005,12.76291382,12.9246676,13.08642137,13.24817514,13.40992892,13.57168269,13.73343647,13.89519024,14.3461504,14.04967022,13.99927044,12.93918991,12.86610985,12.86610985
LIE,Liechtenstein,Europe,Northern Hemisphere,Very High,,16,,,,,,,,,,,13.95551359,14.0411227,14.12725698,14.21391964,14.46243,14.29856014,14.46555042,14.42228985,14.65060997,14.48534966,14.51568985,14.84086037,15.02554035,14.83032513,14.6351099,14.71424007,14.7209301,14.88391018,14.62086964,15.18157005,15.18157005,15.18157005
LKA,Sri Lanka,Asia,Northern Hemisphere,High,SA,73,11.24841313,11.36073368,11.47417581,11.5887507,11.70446968,11.82370156,11.94293344,12.06216532,12.1813972,12.30062908,12.41986096,12.53909284,12.65832472,12.7775566,12.89678848,13.01602036,13.13525224,13.25448412,13.373716,13.49294788,13.61217976,13.72367954,13.7407198,13.96959972,13.92172654,13.87385337,13.82598019,13.90752983,14.11106968,14.13990486,14.13990486,14.13990486
LSO,Lesotho,Africa,Southern Hemisphere,Low,SSA,168,8.651200294,8.7855196,8.733690262,8.460089684,8.75881958,8.821840286,8.735159874,8.659733136,8.584306399,8.508879662,9.336930275,9.597189903,9.874540329,10.39723015,10.67878008,10.96033001,11.27525043,11.45768038,11.64011033,11.82254028,12.00497023,12.18740018,12.36983013,11.97321987,11.92323017,11.8165102,11.97399998,12.13148975,12.08609896,12.04087801,12.04087801,12.04087801
LTU,Lithuania,Europe,Northern Hemisphere,Very High,,35,12.84978008,12.63996983,12.19863033,11.84232998,11.76371002,11.97601032,12.40145016,12.92078018,13.39538956,13.84819984,14.40340996,14.95748997,15.43988037,15.94620037,16.04578018,16.37878036,16.69487,16.69595909,16.72579956,16.83357048,16.79044914,16.85102081,16.67333031,16.60783958,16.46250916,16.4450798,16.49953079,16.63731003,16.56925011,16.28506088,16.28506088,16.28506088
LUX,Luxembourg,Europe,Northern Hemisphere,Very High,,17,10.5273252,10.8223003,11.12554058,11.43727764,11.75774956,11.82686996,12.2501297,12.40548992,12.74400997,13.4890604,13.44017982,13.50298023,13.55920029,13.52670002,13.51615334,13.50560665,13.49505997,13.51607513,13.5370903,13.73584509,13.93459988,13.9084549,13.88230991,13.94312986,14.0039498,14.06476974,14.22751999,14.25582027,14.31532001,14.39813995,14.39813995,14.39813995
LVA,Latvia,Europe,Northern Hemisphere,Very High,,39,12.66884041,12.55290985,12.36756039,11.88483047,11.5771904,11.63290977,11.89087963,12.27278042,12.88967991,13.50590992,13.93457031,14.57145023,15.02884007,15.25129986,15.68218994,15.96102047,15.98433971,15.90223026,15.92555046,15.57306004,15.50370026,15.53017044,15.38467979,15.8287096,15.81700039,15.83139992,15.98268986,16.16769028,16.23089027,16.20252991,16.20252991,16.20252991
MAR,Morocco,Africa,Northern Hemisphere,Medium,AS,123,6.517419815,6.496779919,6.601980209,6.822780132,7.084599972,7.315730095,7.467455149,7.619180202,7.678890228,8.099590302,8.555199623,8.900279999,9.336620331,9.677559853,9.920379639,10.08786964,10.10542011,10.37483978,10.54251003,10.73604012,11.08810043,11.43887043,11.7844696,12.12826366,12.47205772,12.81585178,13.15964584,13.5034399,13.72161961,13.95818996,14.15190983,14.15190983
MCO,Monaco,Europe,Northern Hemisphere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MDA,Moldova,Europe,Northern Hemisphere,High,ECA,80,7.134404363,7.367374644,7.607952448,7.856386197,8.11293242,8.377856028,8.651430579,8.933938565,9.225671704,9.526931237,9.838028244,10.1809489,10.52386956,10.86679021,11.20971087,11.55263153,11.89555218,12.23847284,12.58139349,12.92431415,13.26723481,13.61015546,13.95307612,14.02487343,14.09704018,14.06091022,14.07479954,14.29790974,14.39253044,14.46210003,14.43299961,14.43299961
MDG,Madagascar,Africa,Southern Hemisphere,Low,SSA,173,6.326340199,6.511512884,6.696685568,6.881858253,7.067030938,7.252203623,7.437376308,7.622548993,7.807721678,7.992894363,8.178067048,8.363239733,8.548412418,8.733585103,8.918757788,9.103930473,9.171469688,9.414819717,9.723139763,10.18243027,10.15793514,10.13344002,10.30860996,10.37396002,10.43931007,10.56871033,10.41318035,10.29355001,10.17391968,10.13499142,10.13499142,10.13499142
MDV,Maldives,Asia,Northern Hemisphere,High,SA,90,,,,,,9.747140926,10.02378135,10.3082733,10.60083961,11.36034966,11.82178974,11.97014046,11.69769001,12.16390991,12.19339114,12.22287238,12.25235361,12.28183484,12.31131607,12.34079731,12.37027854,12.39975977,12.429241,12.45872223,12.48820347,12.5176847,12.54716593,12.57664716,12.60612839,12.63560963,12.63560963,12.63560963
MEX,Mexico,America,Northern Hemisphere,High,LAC,86,10.94775963,10.76844025,10.73659992,10.7047596,10.80282021,10.93690968,11.06879997,11.20818043,11.51010036,11.7263298,11.98775005,12.02698994,12.3741703,12.65472984,12.74703979,12.79951954,12.91388988,13.03225994,13.20757961,13.26840019,13.39920998,13.44375992,13.70121002,13.87195969,14.04314995,14.19680977,14.6375103,14.80978012,14.8653698,14.86443996,14.86443996,14.86443996
MHL,Marshall Islands,Oceania,Northern Hemisphere,Medium,EAP,131,,,,,,,,,,,,,12.16722965,12.05382319,11.94041673,11.82701027,11.71360381,11.60019734,11.48679088,11.37338442,11.25997796,11.1465715,11.03316503,10.91975857,10.80635211,10.69294565,10.57953919,10.46613272,10.35272626,10.2393198,10.2393198,10.2393198
MKD,North Macedonia,Europe,Northern Hemisphere,High,ECA,78,10.3518902,10.44338258,10.5356836,10.62880039,10.72274017,10.93083954,11.11662006,11.20294952,11.31814957,11.45744991,11.53279972,11.59393024,11.63331032,11.64132023,11.6462698,11.79450035,11.88965511,11.98480988,12.87722969,12.84832001,12.84206009,12.88011026,12.91816044,12.94083023,12.96148968,13.32861996,13.45691013,13.58520031,13.50732994,13.62443234,13.62443234,13.62443234
MLI,Mali,Africa,Northern Hemisphere,Low,SSA,186,2.076570034,2.160510063,2.32198,2.548599958,2.796649933,3.044699907,3.30328989,3.682650089,3.98229003,4.391610146,4.615330219,4.929862678,5.244395137,5.558927596,5.873460054,6.187992513,6.502524972,6.817057431,7.13158989,7.411950111,7.598370075,7.755449772,7.564219952,7.372990131,7.541309834,7.347839832,7.403979778,7.461060047,7.442024549,7.423037617,7.423037617,7.423037617
MLT,Malta,Europe,Northern Hemisphere,Very High,,23,12.67961025,12.82454014,12.94983959,13.11435986,13.20353031,13.3376503,13.36067009,13.50568962,13.97060013,13.90585995,13.85346031,14.06742001,13.9998703,14.33407974,14.8710804,14.81480026,14.49178028,14.79811954,14.64723015,15.07639503,15.50555992,15.02422047,15.16574001,15.26920033,15.41316032,15.70611954,15.84722996,16.10407066,16.58428001,16.83856964,16.83856964,16.83856964
MMR,Myanmar,Asia,Northern Hemisphere,Medium,EAP,149,6.001580238,6.567095041,7.132609844,7.261940002,7.352530003,7.283170223,7.347003539,7.410836856,7.474670172,7.538503488,7.602336804,7.66617012,7.756821791,7.847473462,7.938125134,8.028776805,8.119428476,8.210080147,8.433731079,8.657382011,8.881032944,9.104683876,9.328334808,9.551985741,9.775636673,9.999287605,10.22293854,10.44658947,10.6702404,10.90913752,10.90913752,10.90913752
MNE,Montenegro,Europe,Northern Hemisphere,Very High,ECA,49,,,,,,,,,,,11.54869593,11.890174,12.24174907,12.60371971,12.8471899,13.18715954,13.63720989,14.11563969,14.57936954,14.91355991,15.07221985,15.04305649,15.01389313,14.98472977,14.95556641,14.92640305,14.89723969,15.02132034,14.99967957,14.94519997,15.08160973,15.08160973
MNG,Mongolia,Asia,Northern Hemisphere,High,EAP,96,10.1633997,9.719189644,8.841150284,7.741680145,7.685860157,7.67553997,8.023679733,8.261980057,8.63132,8.90114975,9.397629738,10.11670017,10.48843956,11.20584011,11.79734039,12.66930962,12.96592999,13.39673678,13.82754358,14.25835037,14.58479023,14.62874126,14.6726923,14.71664333,14.76059437,14.8045454,14.84849644,14.89244747,14.93639851,14.98034954,14.98034954,14.98034954
MOZ,Mozambique,Africa,Southern Hemisphere,Low,SSA,185,3.708847485,3.702022453,3.69520998,3.688410044,3.819499969,4.073319912,4.434274912,4.795229912,5.156184912,5.517139912,5.966969967,6.436329842,6.869780064,7.243430138,7.617080212,8.216320038,8.51088047,9.11989975,9.551600456,9.678779602,9.846440315,9.553930283,9.398610115,9.940219879,9.870030403,9.878950119,9.926485062,9.974020004,10.09584184,10.2191516,10.2191516,10.2191516
MRT,Mauritania,Africa,Northern Hemisphere,Medium,SSA,158,3.717259884,3.828249931,4.146910191,4.642859936,5.327489853,5.474870205,5.728159904,5.780069828,6.177780151,6.384640217,6.471035004,6.55742979,6.644999981,6.777100086,7.289490223,7.332839966,7.556079865,7.436579943,7.317080021,7.794020176,7.878290176,7.97796011,8.365590096,8.676250458,8.850930214,9.02560997,8.617939949,8.588339806,9.106389999,9.376159668,9.376159668,9.376159668
